date;EBEV_GWh;Dadj_GWh
28/11/2011;0.000252;0.000307
29/11/2011;0.000454;0.000552
30/11/2011;0.000454;0.000552
01/12/2011;0.000353;0.000429
02/12/2011;0.000252;0.000307
03/12/2011;0.000202;0.000245
04/12/2011;0.000202;0.000245
05/12/2011;0.000403;0.000491
06/12/2011;0.000454;0.000552
07/12/2011;0.000403;0.000491
08/12/2011;0.000252;0.000307
09/12/2011;0.000202;0.000245
10/12/2011;0.000202;0.000245
11/12/2011;0.000101;0.000123
12/12/2011;0.000403;0.000491
13/12/2011;0.000252;0.000307
14/12/2011;0.000302;0.000368
15/12/2011;0.000302;0.000368
16/12/2011;0.000202;0.000245
17/12/2011;0.000151;0.000184
18/12/2011;0.000202;0.000245
19/12/2011;0.000454;0.000552
20/12/2011;0.000454;0.000552
21/12/2011;0.000353;0.000429
22/12/2011;0.000252;0.000307
23/12/2011;0.000454;0.000552
24/12/2011;0.000151;0.000184
25/12/2011;0.000151;0.000184
26/12/2011;0.000504;0.000613
27/12/2011;0.000252;0.000307
28/12/2011;0.000403;0.000491
29/12/2011;0.000403;0.000491
30/12/2011;0.000302;0.000368
02/01/2012;0.000857;0.001085
03/01/2012;0.000554;0.000702
04/01/2012;0.000706;0.000894
05/01/2012;0.000756;0.000958
06/01/2012;0.000706;0.000894
07/01/2012;0.000302;0.000383
08/01/2012;0.000454;0.000575
09/01/2012;0.000504;0.000638
10/01/2012;0.000605;0.000766
11/01/2012;0.000706;0.000894
12/01/2012;0.000857;0.001085
13/01/2012;0.000605;0.000766
14/01/2012;0.000302;0.000383
15/01/2012;0.000302;0.000383
16/01/2012;0.000655;0.000830
18/01/2012;0.000706;0.000894
19/01/2012;0.000554;0.000702
21/01/2012;0.000252;0.000319
22/01/2012;0.000302;0.000383
23/01/2012;0.000554;0.000702
24/01/2012;0.001008;0.001277
25/01/2012;0.000857;0.001085
26/01/2012;0.000605;0.000766
27/01/2012;0.000605;0.000766
28/01/2012;0.000252;0.000319
29/01/2012;0.000353;0.000447
30/01/2012;0.000806;0.001021
31/01/2012;0.000605;0.000766
01/02/2012;0.000554;0.000702
02/02/2012;0.000706;0.000894
03/02/2012;0.000756;0.000958
04/02/2012;0.000302;0.000383
05/02/2012;0.000353;0.000447
06/02/2012;0.000403;0.000511
07/02/2012;0.000504;0.000638
08/02/2012;0.000756;0.000958
09/02/2012;0.000756;0.000958
10/02/2012;0.000655;0.000830
11/02/2012;0.000302;0.000383
12/02/2012;0.000504;0.000638
13/02/2012;0.000706;0.000894
14/02/2012;0.000655;0.000830
15/02/2012;0.000655;0.000830
16/02/2012;0.000756;0.000958
17/02/2012;0.000706;0.000894
18/02/2012;0.000302;0.000383
19/02/2012;0.000504;0.000638
20/02/2012;0.000806;0.001021
21/02/2012;0.000806;0.001021
22/02/2012;0.000756;0.000958
24/02/2012;0.000605;0.000766
25/02/2012;0.000353;0.000447
26/02/2012;0.000302;0.000383
27/02/2012;0.000857;0.001085
28/02/2012;0.000806;0.001021
29/02/2012;0.000806;0.001021
01/03/2012;0.001058;0.001341
02/03/2012;0.000907;0.001149
03/03/2012;0.000454;0.000575
04/03/2012;0.000454;0.000575
05/03/2012;0.000806;0.001021
06/03/2012;0.001159;0.001468
07/03/2012;0.000958;0.001213
08/03/2012;0.001008;0.001277
09/03/2012;0.001058;0.001341
10/03/2012;0.000655;0.000830
11/03/2012;0.000504;0.000638
12/03/2012;0.001159;0.001468
13/03/2012;0.001058;0.001341
14/03/2012;0.000907;0.001149
15/03/2012;0.000857;0.001085
16/03/2012;0.000706;0.000894
17/03/2012;0.000706;0.000894
18/03/2012;0.000655;0.000830
19/03/2012;0.001058;0.001341
20/03/2012;0.000958;0.001213
21/03/2012;0.000857;0.001085
22/03/2012;0.000958;0.001213
23/03/2012;0.001008;0.001277
24/03/2012;0.000605;0.000766
25/03/2012;0.000302;0.000383
26/03/2012;0.001310;0.001660
27/03/2012;0.001159;0.001468
28/03/2012;0.001159;0.001468
29/03/2012;0.001462;0.001851
30/03/2012;0.001058;0.001341
31/03/2012;0.000554;0.000702
01/04/2012;0.000302;0.000383
02/04/2012;0.000857;0.001085
03/04/2012;0.000857;0.001085
04/04/2012;0.000756;0.000958
05/04/2012;0.000655;0.000830
06/04/2012;0.000504;0.000638
07/04/2012;0.000302;0.000383
08/04/2012;0.000252;0.000319
10/04/2012;0.000454;0.000575
11/04/2012;0.000655;0.000830
12/04/2012;0.000605;0.000766
13/04/2012;0.000504;0.000638
14/04/2012;0.000302;0.000383
15/04/2012;0.000202;0.000255
16/04/2012;0.000605;0.000766
17/04/2012;0.000605;0.000766
18/04/2012;0.000857;0.001085
19/04/2012;0.000706;0.000894
20/04/2012;0.000706;0.000894
21/04/2012;0.000252;0.000319
22/04/2012;0.000252;0.000319
23/04/2012;0.000605;0.000766
24/04/2012;0.000605;0.000766
25/04/2012;0.000806;0.001021
26/04/2012;0.000655;0.000830
27/04/2012;0.000454;0.000575
28/04/2012;0.000302;0.000383
30/04/2012;0.000706;0.000894
01/05/2012;0.000605;0.000766
02/05/2012;0.000504;0.000638
06/05/2012;0.000302;0.000383
07/05/2012;0.000756;0.000958
08/05/2012;0.000605;0.000766
09/05/2012;0.000554;0.000702
11/05/2012;0.000554;0.000702
12/05/2012;0.000302;0.000383
13/05/2012;0.000302;0.000383
14/05/2012;0.000504;0.000638
15/05/2012;0.000756;0.000958
16/05/2012;0.000454;0.000575
17/05/2012;0.000605;0.000766
18/05/2012;0.000756;0.000958
19/05/2012;0.000252;0.000319
20/05/2012;0.000353;0.000447
21/05/2012;0.000554;0.000702
22/05/2012;0.000504;0.000638
23/05/2012;0.000706;0.000894
24/05/2012;0.000655;0.000830
25/05/2012;0.000504;0.000638
26/05/2012;0.000353;0.000447
27/05/2012;0.000302;0.000383
28/05/2012;0.000554;0.000702
29/05/2012;0.000454;0.000575
30/05/2012;0.000504;0.000638
31/05/2012;0.000454;0.000575
01/06/2012;0.000706;0.000894
02/06/2012;0.000302;0.000383
03/06/2012;0.000302;0.000383
